Date_Time,Port_1,Port_2,Port_3,Port_4,Port_5
7/20/23 12:00,0.071,0.141,0.075,0.055,0.092
7/20/23 13:00,0.07,0.142,0.077,0.056,0.094
7/20/23 14:00,0.074,0.142,0.079,0.056,0.094
7/20/23 15:00,0.076,0.141,0.081,0.055,0.094
7/20/23 16:00,0.077,0.14,0.082,0.054,0.093
7/20/23 17:00,0.077,0.136,0.081,0.052,0.091
7/20/23 18:00,0.077,0.134,0.078,0.049,0.088
7/20/23 19:00,0.074,0.133,0.076,0.049,0.086
7/20/23 20:00,0.072,0.132,0.074,0.048,0.085
7/20/23 21:00,0.072,0.132,0.072,0.047,0.084
7/20/23 22:00,0.073,0.131,0.072,0.046,0.083
7/20/23 23:00,0.074,0.13,0.072,0.045,0.083
7/21/23 0:00,0.074,0.13,0.071,0.045,0.083
7/21/23 1:00,0.074,0.13,0.071,0.045,0.083
7/21/23 2:00,0.073,0.13,0.07,0.045,0.082
7/21/23 3:00,0.072,0.13,0.069,0.045,0.081
7/21/23 4:00,0.07,0.129,0.069,0.044,0.081
7/21/23 5:00,0.07,0.129,0.069,0.044,0.081
7/21/23 6:00,0.069,0.128,0.068,0.044,0.081
7/21/23 7:00,0.069,0.128,0.068,0.044,0.08
7/21/23 8:00,0.069,0.128,0.068,0.045,0.081
7/21/23 9:00,0.07,0.13,0.069,0.046,0.082
7/21/23 10:00,0.072,0.133,0.072,0.049,0.085
7/21/23 11:00,0.07,0.135,0.072,0.05,0.088
7/21/23 12:00,0.072,0.136,0.075,0.052,0.089
7/21/23 13:00,0.07,0.138,0.075,0.053,0.09
7/21/23 14:00,0.074,0.139,0.077,0.054,0.09
7/21/23 15:00,0.075,0.139,0.077,0.053,0.09
7/21/23 16:00,0.075,0.137,0.077,0.052,0.089
7/21/23 17:00,0.075,0.134,0.076,0.049,0.087
7/21/23 18:00,0.074,0.133,0.073,0.047,0.083
7/21/23 19:00,0.072,0.13,0.07,0.045,0.081
7/21/23 20:00,0.069,0.13,0.068,0.044,0.079
7/21/23 21:00,0.072,0.129,0.068,0.043,0.078
7/21/23 22:00,0.073,0.128,0.067,0.041,0.078
7/21/23 23:00,0.072,0.128,0.067,0.036,0.077
7/22/23 0:00,0.072,0.128,0.066,0.035,0.077
7/22/23 1:00,0.071,0.127,0.066,0.035,0.076
7/22/23 2:00,0.071,0.127,0.065,0.035,0.076
7/22/23 3:00,0.069,0.127,0.065,0.035,0.076
7/22/23 4:00,0.068,0.127,0.064,0.035,0.076
7/22/23 5:00,0.067,0.127,0.064,0.035,0.075
7/22/23 6:00,0.066,0.126,0.064,0.035,0.075
7/22/23 7:00,0.067,0.126,0.063,0.035,0.075
7/22/23 8:00,0.067,0.127,0.063,0.035,0.075
7/22/23 9:00,0.068,0.128,0.065,0.036,0.077
7/22/23 10:00,0.069,0.13,0.066,0.038,0.079
7/22/23 11:00,0.066,0.133,0.068,0.038,0.082
7/22/23 12:00,0.067,0.134,0.069,0.04,0.084
7/22/23 13:00,0.066,0.135,0.069,0.042,0.085
7/22/23 14:00,0.069,0.136,0.071,0.042,0.085
7/22/23 15:00,0.07,0.136,0.072,0.042,0.084
7/22/23 16:00,0.07,0.134,0.071,0.041,0.083
7/22/23 17:00,0.069,0.131,0.07,0.038,0.081
7/22/23 18:00,0.069,0.13,0.067,0.036,0.077
7/22/23 19:00,0.066,0.128,0.064,0.035,0.074
7/22/23 20:00,0.063,0.127,0.062,0.033,0.072
7/22/23 21:00,0.066,0.127,0.062,0.032,0.072
7/22/23 22:00,0.066,0.126,0.062,0.032,0.072
7/22/23 23:00,0.066,0.126,0.062,0.032,0.071
7/23/23 0:00,0.067,0.125,0.062,0.032,0.071
7/23/23 1:00,0.066,0.125,0.061,0.032,0.07
7/23/23 2:00,0.066,0.125,0.061,0.032,0.07
7/23/23 3:00,0.066,0.125,0.06,0.032,0.069
7/23/23 4:00,0.066,0.125,0.06,0.032,0.069
7/23/23 5:00,0.065,0.125,0.06,0.032,0.069
7/23/23 6:00,0.064,0.124,0.06,0.032,0.069
7/23/23 7:00,0.063,0.125,0.06,0.032,0.069
7/23/23 8:00,0.063,0.125,0.06,0.032,0.069
7/23/23 9:00,0.065,0.126,0.061,0.032,0.071
7/23/23 10:00,0.064,0.128,0.062,0.035,0.073
7/23/23 11:00,0.061,0.13,0.063,0.035,0.076
7/23/23 12:00,0.062,0.13,0.064,0.037,0.077
7/23/23 13:00,0.061,0.133,0.064,0.037,0.077
7/23/23 14:00,0.065,0.134,0.065,0.038,0.077
7/23/23 15:00,0.066,0.134,0.066,0.038,0.076
7/23/23 16:00,0.066,0.132,0.066,0.037,0.076
7/23/23 17:00,0.063,0.128,0.064,0.034,0.073
7/23/23 18:00,0.062,0.128,0.06,0.032,0.069
7/23/23 19:00,0.064,0.126,0.058,0.031,0.066
7/23/23 20:00,0.062,0.125,0.057,0.03,0.066
7/23/23 21:00,0.064,0.124,0.057,0.029,0.064
7/23/23 22:00,0.061,0.123,0.057,0.028,0.064
7/23/23 23:00,0.06,0.123,0.058,0.028,0.063
7/24/23 0:00,0.062,0.123,0.058,0.028,0.062
7/24/23 1:00,0.063,0.123,0.058,0.028,0.062
7/24/23 2:00,0.062,0.123,0.057,0.028,0.062
7/24/23 3:00,0.061,0.123,0.056,0.028,0.062
7/24/23 4:00,0.06,0.122,0.055,0.028,0.062
7/24/23 5:00,0.06,0.122,0.055,0.028,0.062
7/24/23 6:00,0.059,0.122,0.055,0.028,0.061
7/24/23 7:00,0.059,0.122,0.055,0.028,0.061
7/24/23 8:00,0.059,0.122,0.055,0.028,0.061
7/24/23 9:00,0.059,0.123,0.056,0.029,0.062
7/24/23 10:00,0.06,0.123,0.057,0.031,0.064
7/24/23 11:00,0.06,0.126,0.059,0.032,0.066
7/24/23 12:00,0.061,0.128,0.06,0.034,0.069
7/24/23 13:00,0.059,0.128,0.06,0.034,0.069
7/24/23 14:00,0.062,0.13,0.062,0.035,0.07
7/24/23 15:00,0.061,0.13,0.062,0.035,0.069
7/24/23 16:00,0.061,0.128,0.061,0.034,0.068
7/24/23 17:00,0.06,0.125,0.061,0.031,0.066
7/24/23 18:00,0.057,0.124,0.058,0.03,0.062
7/24/23 19:00,0.058,0.123,0.054,0.028,0.06
7/24/23 20:00,0.066,0.122,0.054,0.027,0.059
7/24/23 21:00,0.076,0.121,0.054,0.026,0.058
7/24/23 22:00,0.062,0.12,0.053,0.026,0.057
7/24/23 23:00,0.054,0.12,0.051,0.026,0.056
